school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2018-19,4781_0040,Central Elementary,Traditional Public,71.8,Meets Expectations,304,57.2,61.3,77.1,NA,95.8,NA,NA,NA,NA,0
2018-19,4781_0060,Crescent Elementary,Traditional Public,65.8,Meets Expectations,357,60.5,NA,56.9,NA,86.9,NA,NA,NA,NA,0
2018-19,4781_0090,James Williams Middle,Traditional Public,72.3,Meets Expectations,526,50.5,65.1,80.1,NA,86.6,NA,NA,NA,NA,0
2018-19,4781_0020,Northwoods Community Elementary,Instrumentality Charter,73.9,Exceeds Expectations,94,62,69.8,NA,NA,88.7,NA,NA,NA,NA,0
2018-19,4781_0140,Pelican Elementary,Traditional Public,73.4,Exceeds Expectations,324,63.2,NA,74.1,NA,87.8,NA,NA,NA,NA,0
2018-19,4781_0180,Rhinelander High,Traditional Public,65.2,Meets Expectations,745,52.4,55.6,65,NA,94.6,NA,NA,NA,NA,0
2018-19,4795_0100,Rib Lake Elementary,Traditional Public,82.8,Exceeds Expectations,237,86.9,77.4,78.2,NA,91.6,NA,NA,NA,NA,0
2018-19,4795_0060,Rib Lake High,Traditional Public,69.2,Meets Expectations,129,65.6,52.7,68.4,NA,97.6,NA,NA,NA,NA,0
2018-19,4795_0080,Rib Lake Middle,Traditional Public,66,Meets Expectations,95,63.1,62.2,50.4,NA,88.4,NA,NA,NA,NA,0
2018-19,4802_0060,Haugen Elementary,Traditional Public,81.5,Exceeds Expectations,87,78.7,NA,NA,NA,89.7,NA,NA,NA,NA,0
2018-19,4802_0080,Hilltop Elementary,Traditional Public,82,Exceeds Expectations,265,76,82.2,79.2,NA,89,NA,NA,NA,NA,0
2018-19,4802_0450,Northern Lakes Regional Academy,Instrumentality Charter,65.6,Meets Expectations,32,60.2,58.4,NA,NA,92.1,NA,NA,NA,NA,0
2018-19,4802_0180,Rice Lake High,Traditional Public,71,Meets Expectations,691,68.1,62.2,64,NA,95.6,NA,NA,NA,NA,0
2018-19,4802_0140,Rice Lake Middle,Traditional Public,74.3,Exceeds Expectations,657,69.9,66.9,73.9,NA,87.2,NA,NA,NA,NA,0
2018-19,4802_0025,Tainter Elementary,Traditional Public,83,Significantly Exceeds Expectations,484,72.3,71.7,99.6,NA,88.8,NA,NA,NA,NA,0
